Material_ID,Category,Sub_Category,Brand,Product_Name,Image_URL,Product_Page_URL,Specification,Grade,Size,Thickness,Colour,Unit,Pack_Size,Price_INR,Min_Price_INR,Max_Price_INR,GST_Status,Quality_Rating,Durability_Rating,Application,Advantages,Disadvantages,Availability,Supplier_Location,Price_Type,Data_Status,Updated_Date
MAT0011,Cement,OPC 43,Ambuja Cements,Ambuja Cements OPC 43 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,Black,Bag,50 kg,444.55,400.1,511.23,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0012,Cement,OPC 53,Dalmia Bharat,Dalmia Bharat OPC 53 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,Silver,Bag,50 kg,478.23,430.41,549.96,Verify current GST,4,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0013,Cement,PPC,UltraTech,UltraTech PPC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Natural,Bag,50 kg,393.36,354.02,452.36,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0014,Cement,PSC,ACC,ACC PSC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Beige,Bag,50 kg,402.63,362.37,463.02,Verify current GST,4,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0015,Cement,Composite Cement,Ambuja Cements,Ambuja Cements Composite Cement Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,Multiple,Bag,50 kg,424.1,381.69,487.71,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0016,Cement,OPC 43,Dalmia Bharat,Dalmia Bharat OPC 43 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,Grey,Bag,50 kg,405.53,364.98,466.36,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0017,Cement,OPC 53,UltraTech,UltraTech OPC 53 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Silver,Bag,50 kg,387.49,348.74,445.61,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0018,Cement,PPC,ACC,ACC PPC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Brown,Bag,50 kg,392.13,352.92,450.95,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0019,Cement,PSC,Ambuja Cements,Ambuja Cements PSC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,Beige,Bag,50 kg,438.65,394.78,504.45,Verify current GST,5,5,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0020,Cement,Composite Cement,Dalmia Bharat,Dalmia Bharat Composite Cement Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,Silver,Bag,50 kg,391.79,352.61,450.56,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0021,Cement,OPC 43,UltraTech,UltraTech OPC 43 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Brown,Bag,50 kg,467.74,420.97,537.9,Verify current GST,5,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0022,Cement,OPC 53,ACC,ACC OPC 53 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,White,Bag,50 kg,479.68,431.71,551.63,Verify current GST,4,5,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0023,Cement,PPC,Ambuja Cements,Ambuja Cements PPC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,Beige,Bag,50 kg,450.69,405.62,518.29,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0024,Cement,PSC,Dalmia Bharat,Dalmia Bharat PSC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,Silver,Bag,50 kg,455.05,409.55,523.31,Verify current GST,5,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0025,Cement,Composite Cement,UltraTech,UltraTech Composite Cement Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Grey,Bag,50 kg,405.79,365.21,466.66,Verify current GST,5,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0026,Cement,OPC 43,ACC,ACC OPC 43 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Natural,Bag,50 kg,441.63,397.47,507.87,Verify current GST,3,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0027,Cement,OPC 53,Ambuja Cements,Ambuja Cements OPC 53 Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ambujacement.com/,IS 455,IS 455,Standard,,Multiple,Bag,50 kg,373.39,336.05,429.4,Verify current GST,5,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0028,Cement,PPC,Dalmia Bharat,Dalmia Bharat PPC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.dalmiacement.com/,IS 1489,IS 1489,Standard,,White,Bag,50 kg,360.39,324.35,414.45,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0029,Cement,PSC,UltraTech,UltraTech PSC Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.ultratechcement.com/,IS 269,IS 269,Standard,,Beige,Bag,50 kg,464.46,418.01,534.13,Verify current GST,4,4,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0030,Cement,Composite Cement,ACC,ACC Composite Cement Standard,https://images.unsplash.com/photo-1541888946425-d81bb19240f5?auto=format&fit=crop&w=900&q=80,https://www.acclimited.com/,IS 1489,IS 1489,Standard,,Natural,Bag,50 kg,404.87,364.38,465.6,Verify current GST,4,3,"RCC, masonry, plastering",Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0031,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 8 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,8 mm,,Standard,Kg,1 kg,7391.09,6651.98,8499.75,Verify current GST,3,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0032,Steel,TMT Bar Fe500D,JSW Neosteel,JSW Neosteel TMT Bar Fe500D 10 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jswneosteel.in/,IS 280,IS 280,10 mm,,Standard,Ton,1 ton,3653.78,3288.4,4201.85,Verify current GST,4,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0033,Steel,TMT Bar Fe550,SAIL,SAIL TMT Bar Fe550 12 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.sail.co.in/,IS 1786,IS 1786,12 mm,,Standard,Kg,1 kg,11040.61,9936.55,12696.7,Verify current GST,3,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0034,Steel,Binding Wire,Jindal Panther,Jindal Panther Binding Wire 16 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jindalpanther.com/,IS 280,IS 280,16 mm,,Standard,Ton,1 ton,9958.26,8962.43,11452.0,Verify current GST,4,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0035,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 20 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,20 mm,,Standard,Kg,1 kg,14527.44,13074.7,16706.56,Verify current GST,4,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0036,Steel,TMT Bar Fe500D,JSW Neosteel,JSW Neosteel TMT Bar Fe500D 25 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jswneosteel.in/,IS 280,IS 280,25 mm,,Standard,Ton,1 ton,14989.24,13490.32,17237.63,Verify current GST,4,5,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0037,Steel,TMT Bar Fe550,SAIL,SAIL TMT Bar Fe550 8 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.sail.co.in/,IS 1786,IS 1786,8 mm,,Standard,Kg,1 kg,1877.06,1689.35,2158.62,Verify current GST,4,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0038,Steel,Binding Wire,Jindal Panther,Jindal Panther Binding Wire 10 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jindalpanther.com/,IS 280,IS 280,10 mm,,Standard,Ton,1 ton,377.51,339.76,434.14,Verify current GST,4,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0039,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 12 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,12 mm,,Standard,Kg,1 kg,1126.9,1014.21,1295.93,Verify current GST,3,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0040,Steel,TMT Bar Fe500D,JSW Neosteel,JSW Neosteel TMT Bar Fe500D 16 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jswneosteel.in/,IS 280,IS 280,16 mm,,Standard,Ton,1 ton,13643.3,12278.97,15689.79,Verify current GST,4,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0041,Steel,TMT Bar Fe550,SAIL,SAIL TMT Bar Fe550 20 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.sail.co.in/,IS 1786,IS 1786,20 mm,,Standard,Kg,1 kg,4239.16,3815.24,4875.03,Verify current GST,5,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0042,Steel,Binding Wire,Jindal Panther,Jindal Panther Binding Wire 25 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jindalpanther.com/,IS 280,IS 280,25 mm,,Standard,Ton,1 ton,10912.29,9821.06,12549.13,Verify current GST,5,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0043,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 8 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,8 mm,,Standard,Kg,1 kg,12174.45,10957.01,14000.62,Verify current GST,4,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0044,Steel,TMT Bar Fe500D,JSW Neosteel,JSW Neosteel TMT Bar Fe500D 10 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jswneosteel.in/,IS 280,IS 280,10 mm,,Standard,Ton,1 ton,9946.74,8952.07,11438.75,Verify current GST,4,5,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0045,Steel,TMT Bar Fe550,SAIL,SAIL TMT Bar Fe550 12 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.sail.co.in/,IS 1786,IS 1786,12 mm,,Standard,Kg,1 kg,7067.37,6360.63,8127.48,Verify current GST,3,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0046,Steel,Binding Wire,Jindal Panther,Jindal Panther Binding Wire 16 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jindalpanther.com/,IS 280,IS 280,16 mm,,Standard,Ton,1 ton,6101.32,5491.19,7016.52,Verify current GST,4,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0047,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 20 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,20 mm,,Standard,Kg,1 kg,2935.85,2642.26,3376.23,Verify current GST,5,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0048,Steel,TMT Bar Fe500D,JSW Neosteel,JSW Neosteel TMT Bar Fe500D 25 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jswneosteel.in/,IS 280,IS 280,25 mm,,Standard,Ton,1 ton,2814.32,2532.89,3236.47,Verify current GST,5,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0049,Steel,TMT Bar Fe550,SAIL,SAIL TMT Bar Fe550 8 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.sail.co.in/,IS 1786,IS 1786,8 mm,,Standard,Kg,1 kg,6708.96,6038.06,7715.3,Verify current GST,3,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0050,Steel,Binding Wire,Jindal Panther,Jindal Panther Binding Wire 10 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jindalpanther.com/,IS 280,IS 280,10 mm,,Standard,Ton,1 ton,14596.94,13137.25,16786.48,Verify current GST,4,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0051,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 12 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,12 mm,,Standard,Kg,1 kg,7346.62,6611.96,8448.61,Verify current GST,4,5,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0052,Steel,TMT Bar Fe500D,JSW Neosteel,JSW Neosteel TMT Bar Fe500D 16 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jswneosteel.in/,IS 280,IS 280,16 mm,,Standard,Ton,1 ton,2531.56,2278.4,2911.29,Verify current GST,3,5,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0053,Steel,TMT Bar Fe550,SAIL,SAIL TMT Bar Fe550 20 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.sail.co.in/,IS 1786,IS 1786,20 mm,,Standard,Kg,1 kg,13959.77,12563.79,16053.74,Verify current GST,5,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0054,Steel,Binding Wire,Jindal Panther,Jindal Panther Binding Wire 25 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://www.jindalpanther.com/,IS 280,IS 280,25 mm,,Standard,Ton,1 ton,10510.87,9459.78,12087.5,Verify current GST,5,4,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
MAT0055,Steel,TMT Bar Fe500,Tata Tiscon,Tata Tiscon TMT Bar Fe500 8 mm,https://images.unsplash.com/photo-1504917595217-d4dc5ebe6122?auto=format&fit=crop&w=900&q=80,https://tatatiscon.co.in/,IS 1786,IS 1786,8 mm,,Standard,Kg,1 kg,4512.62,4061.36,5189.51,Verify current GST,3,3,RCC reinforcement and structural work,Suitable for standard construction applications,"Verify grade, compatibility and supplier quality before purchase",Check local supplier,India,Indicative demo/reference price,Synthetic catalog row for prototype,2026-09-16
